"ID","lat","long"
"68983",53.243303136392,-9.17278246390131
"68984",53.2433042199451,-9.1720332071896
"68985",53.2433052987894,-9.17128395042956
"68986",53.2433063729247,-9.1705346936214
"68987",53.2433074423512,-9.16978543676533
"68988",53.2433085070687,-9.16903617986156
"68989",53.2433095670772,-9.16828692291031
"68990",53.2433106223769,-9.16753766591179
"68991",53.2433116729676,-9.16678840886619
"68992",53.2433127188494,-9.16603915177374
"68993",53.2433137600223,-9.16528989463465
"68994",53.2433147964863,-9.16454063744912
"68995",53.2433158282413,-9.16379138021737
"68996",53.2433168552874,-9.1630421229396
"68997",53.2433178776246,-9.16229286561604
"68998",53.2433188952529,-9.16154360824688
"68999",53.2433199081722,-9.16079435083233
"69000",53.2433209163826,-9.16004509337262
"69001",53.2433219198841,-9.15929583586795
"69002",53.2433229186766,-9.15854657831852
"69003",53.2433239127602,-9.15779732072456
"69004",53.2433249021349,-9.15704806308627
"69005",53.2433258868007,-9.15629880540386
"69006",53.2433268667575,-9.15554954767753
"69007",53.2433278420053,-9.15480028990752
"69008",53.2433288125443,-9.15405103209401
"69009",53.2433297783743,-9.15330177423723
"69010",53.2433307394954,-9.15255251633738
"69011",53.2433316959075,-9.15180325839467
"69012",53.2433326476107,-9.15105400040932
"69013",53.243333594605,-9.15030474238153
"69014",53.2433345368903,-9.14955548431152
"69015",53.2433354744667,-9.1488062261995
"69016",53.2433364073342,-9.14805696804567
"69017",53.2433373354927,-9.14730770985025
"69018",53.2433382589423,-9.14655845161344
"69019",53.2433391776829,-9.14580919333546
"69020",53.2433400917146,-9.14505993501653
"69021",53.2433410010373,-9.14431067665684
"69022",53.2433419056511,-9.14356141825661
"69023",53.243342805556,-9.14281215981605
"69024",53.243343700752,-9.14206290133537
"69025",53.2433445912389,-9.14131364281478
"69026",53.243345477017,-9.14056438425449
"69027",53.2433463580861,-9.13981512565471
"69028",53.2433472344462,-9.13906586701565
"69029",53.2433481060974,-9.13831660833753
"69030",53.2433489730397,-9.13756734962055
"69031",53.243349835273,-9.13681809086493
"69032",53.2433506927973,-9.13606883207087
"69033",53.2433515456127,-9.13531957323858
"69034",53.2433523937192,-9.13457031436828
"69035",53.2433532371167,-9.13382105546017
"69036",53.2433540758053,-9.13307179651447
"69037",53.2433549097849,-9.13232253753139
"69038",53.2433557390555,-9.13157327851113
"69039",53.2433565636172,-9.13082401945391
"69040",53.24335738347,-9.13007476035994
"69041",53.2433581986138,-9.12932550122943
"69042",53.2433590090487,-9.12857624206259
"69043",53.2433598147746,-9.12782698285962
"69044",53.2433606157915,-9.12707772362075
"69045",53.2433614120995,-9.12632846434618
"69046",53.2433622036985,-9.12557920503611
"69047",53.2433629905886,-9.12482994569077
"69048",53.2433637727697,-9.12408068631036
"69049",53.2433645502419,-9.1233314268951
"69050",53.2433653230051,-9.12258216744518
"69051",53.2433660910594,-9.12183290796083
"69052",53.2433668544046,-9.12108364844225
"69053",53.243367613041,-9.12033438888966
"69054",53.2433683669684,-9.11958512930326
"69055",53.2433691161868,-9.11883586968326
"69056",53.2433698606962,-9.11808661002989
"69057",53.2433706004967,-9.11733735034334
"69058",53.2433713355883,-9.11658809062382
"69059",53.2433720659708,-9.11583883087155
"69060",53.2433727916444,-9.11508957108675
"69061",53.2433735126091,-9.1143403112696
"69062",53.2433742288648,-9.11359105142034
"69063",53.2433749404115,-9.11284179153917
"69064",53.2433756472493,-9.11209253162629
"69065",53.2433763493781,-9.11134327168193
"69066",53.2433770467979,-9.11059401170628
"69067",53.2433777395088,-9.10984475169957
"69068",53.2433784275107,-9.109095491662
"69069",53.2433791108036,-9.10834623159378
"69070",53.2433797893876,-9.10759697149513
"69071",53.2433804632626,-9.10684771136624
"69072",53.2433811324286,-9.10609845120734
"69073",53.2433817968857,-9.10534919101864
"69074",53.2433824566338,-9.10459993080033
"69075",53.2433831116729,-9.10385067055265
"69076",53.2433837620031,-9.10310141027579
"69077",53.2433844076243,-9.10235214996996
"69078",53.2433850485365,-9.10160288963538
"69079",53.2433856847397,-9.10085362927226
"69080",53.243386316234,-9.10010436888081
"69081",53.2433869430193,-9.09935510846123
"69082",53.2433875650957,-9.09860584801374
"69083",53.2433881824631,-9.09785658753855
"69084",53.2433887951215,-9.09710732703587
"69085",53.2433894030709,-9.09635806650591
"69086",53.2433900063113,-9.09560880594888
"69087",53.2433906048428,-9.09485954536499
"69088",53.2433911986653,-9.09411028475446
"69089",53.2433917877788,-9.09336102411748
"69090",53.2433923721834,-9.09261176345427
"69091",53.243392951879,-9.09186250276505
"69092",53.2433935268656,-9.09111324205003
"69093",53.2433940971432,-9.0903639813094
"69094",53.2433946627119,-9.08961472054339
"69095",53.2433952235716,-9.08886545975221
"69096",53.2433957797223,-9.08811619893606
"69097",53.243396331164,-9.08736693809515
"69098",53.2433968778968,-9.0866176772297
"69099",53.2433974199205,-9.08586841633992
"69100",53.2433979572353,-9.08511915542602
"69101",53.2433984898411,-9.0843698944882
"69102",53.243399017738,-9.08362063352668
"69103",53.2433995409258,-9.08287137254167
"69104",53.2434000594047,-9.08212211153338
"69105",53.2434005731746,-9.08137285050202
"69106",53.2434010822355,-9.08062358944779
"69107",53.2434015865875,-9.07987432837093
"69108",53.2434020862304,-9.07912506727162
"69109",53.2434025811644,-9.07837580615008
"69110",53.2434030713894,-9.07762654500652
"69111",53.2434035569054,-9.07687728384115
"69112",53.2434040377125,-9.07612802265419
"69113",53.2434045138105,-9.07537876144585
"69114",53.2434049851996,-9.07462950021632
"69115",53.2434054518797,-9.07388023896583
"69116",53.2434059138508,-9.07313097769459
"69117",53.2434063711129,-9.0723817164028
"69118",53.243406823666,-9.07163245509068
"69119",53.2434072715102,-9.07088319375843
"69120",53.2434077146454,-9.07013393240627
"69121",53.2434081530716,-9.06938467103441
"69122",53.2434085867888,-9.06863540964305
"69123",53.243409015797,-9.06788614823242
"69124",53.2434094400962,-9.06713688680271
"69125",53.2434098596865,-9.06638762535414
"69126",53.2434102745677,-9.06563836388692
"69127",53.24341068474,-9.06488910240127
"69128",53.2434110902033,-9.06413984089738
"69129",53.2434114909576,-9.06339057937547
"69130",53.2434118870029,-9.06264131783576
"69131",53.2434122783392,-9.06189205627845
"69132",53.2434126649666,-9.06114279470375
"69133",53.2434130468849,-9.06039353311187
"69134",53.2434134240943,-9.05964427150303
